2020-05-08 14:28:25 status unpacked libncursesw5:armhf 6.0+20161126-1+deb9u2
2020-05-08 14:28:26 install libtinfo5:armhf <none> 6.0+20161126-1+deb9u2
2020-05-08 14:28:26 status half-installed libtinfo5:armhf 6.0+20161126-1+deb9u2
2020-05-08 14:28:26 status unpacked libtinfo5:armhf 6.0+20161126-1+deb9u2
2020-05-08 14:28:26 status unpacked libtinfo5:armhf 6.0+20161126-1+deb9u2
2020-05-08 14:28:26 install ncurses-base:all <none> 6.0+20161126-1+deb9u2
2020-05-08 14:28:26 status half-installed ncurses-base:all 6.0+20161126-1+deb9u2
2020-05-08 14:28:26 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2020-05-08 14:28:26 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2020-05-08 14:28:26 install ncurses-bin:armhf <none> 6.0+20161126-1+deb9u2
2020-05-08 14:28:26 status half-installed ncurses-bin:armhf 6.0+20161126-1+deb9u2
2020-05-08 14:28:26 status unpacked ncurses-bin:armhf 6.0+20161126-1+deb9u2
2020-05-08 14:28:26 status unpacked ncurses-bin:armhf 6.0+20161126-1+deb9u2
2020-05-08 14:28:26 install libpam-modules:armhf <none> 1.1.8-3.6
2020-05-08 14:28:26 status half-installed libpam-modules:armhf 1.1.8-3.6
2020-05-08 14:28:27 status unpacked libpam-modules:armhf 1.1.8-3.6
2020-05-08 14:28:27 status unpacked libpam-modules:armhf 1.1.8-3.6
2020-05-08 14:28:27 install libpam-modules-bin:armhf <none> 1.1.8-3.6
2020-05-08 14:28:27 status half-installed libpam-modules-bin:armhf 1.1.8-3.6
2020-05-08 14:28:28 status unpacked libpam-modules-bin:armhf 1.1.8-3.6
2020-05-08 14:28:28 status unpacked libpam-modules-bin:armhf 1.1.8-3.6
2020-05-08 14:28:28 install libpam-runtime:all <none> 1.1.8-3.6
2020-05-08 14:28:28 status half-installed libpam-runtime:all 1.1.8-3.6
2020-05-08 14:28:28 status unpacked libpam-runtime:all 1.1.8-3.6
2020-05-08 14:28:28 status unpacked libpam-runtime:all 1.1.8-3.6
2020-05-08 14:28:28 install libpam0g:armhf <none> 1.1.8-3.6
2020-05-08 14:28:28 status half-installed libpam0g:armhf 1.1.8-3.6
2020-05-08 14:28:28 status unpacked libpam0g:armhf 1.1.8-3.6
2020-05-08 14:28:28 status unpacked libpam0g:armhf 1.1.8-3.6
2020-05-08 14:28:28 install libpcre3:armhf <none> 2:8.39-3
2020-05-08 14:28:28 status half-installed libpcre3:armhf 2:8.39-3
2020-05-08 14:28:29 status unpacked libpcre3:armhf 2:8.39-3
2020-05-08 14:28:29 status unpacked libpcre3:armhf 2:8.39-3
2020-05-08 14:28:29 upgrade perl-base:armhf 5.24.1-3+deb9u6 5.24.1-3+deb9u6
2020-05-08 14:28:29 status half-configured perl-base:armhf 5.24.1-3+deb9u6
2020-05-08 14:28:29 status unpacked perl-base:armhf 5.24.1-3+deb9u6
2020-05-08 14:28:29 status half-installed perl-base:armhf 5.24.1-3+deb9u6
2020-05-08 14:28:29 status half-installed perl-base:armhf 5.24.1-3+deb9u6
2020-05-08 14:28:30 status unpacked perl-base:armhf 5.24.1-3+deb9u6
2020-05-08 14:28:30 status unpacked perl-base:armhf 5.24.1-3+deb9u6
2020-05-08 14:28:30 install sed:armhf <none> 4.4-1
2020-05-08 14:28:30 status half-installed sed:armhf 4.4-1
2020-05-08 14:28:30 status unpacked sed:armhf 4.4-1
2020-05-08 14:28:30 status unpacked sed:armhf 4.4-1
2020-05-08 14:28:30 install sensible-utils:all <none> 0.0.9+deb9u1
2020-05-08 14:28:30 status half-installed sensible-utils:all 0.0.9+deb9u1
2020-05-08 14:28:30 status unpacked sensible-utils:all 0.0.9+deb9u1
2020-05-08 14:28:30 status unpacked sensible-utils:all 0.0.9+deb9u1
2020-05-08 14:28:30 install login:armhf <none> 1:4.4-4.1
2020-05-08 14:28:30 status half-installed login:armhf 1:4.4-4.1
2020-05-08 14:28:31 status unpacked login:armhf 1:4.4-4.1
2020-05-08 14:28:31 status unpacked login:armhf 1:4.4-4.1
2020-05-08 14:28:31 install passwd:armhf <none> 1:4.4-4.1
2020-05-08 14:28:31 status half-installed passwd:armhf 1:4.4-4.1
2020-05-08 14:28:31 status unpacked passwd:armhf 1:4.4-4.1
2020-05-08 14:28:31 status unpacked passwd:armhf 1:4.4-4.1
2020-05-08 14:28:31 install libsystemd0:armhf <none> 232-25+deb9u12
2020-05-08 14:28:31 status half-installed libsystemd0:armhf 232-25+deb9u12
2020-05-08 14:28:32 status unpacked libsystemd0:armhf 232-25+deb9u12
